agency,agency_name,id,use_case_name,agency_bureau,contact_email,is_withheld,development_stage,is_high_impact,HI_justification,topic_area,classification,problem_solved,benefits,system_outputs,operational_date,contracting_usage,vendor_name,have_ato,system_name_ato,data_description,link_to_data,has_pii,pia_url,demographic_features,has_custom_code,code_url,hi_testing_conducted,hi_assessment_completed,hi_potential_impacts,hi_independent_review,hi_ongoing_monitoring,hi_training_established,hi_failsafe_presence,hi_appeal_process,hi_public_consultation
DOL,Department of Labor,DOL-26,Web Scraping to Identify Potentially Fraudulent Multiple Employer Welfare Arrangements (MEWAs),EBSA,zzOCIO-AI@dol.gov,Yes - Prohibited by Law,Retired,Not High-impact,Not pursuing in 2025; discontinued pre-deployment,,,,,,,,,,,,,,,[],,,,,,,,,,,[]
DOL,Department of Labor,DOL-44,AI Headset,MSHA,zzOCIO-AI@dol.gov,Yes - Prohibited by Law,Pilot,Not High-impact,"AI headset provides voice-accessed information, checklists, regulations, and multimedia capture assistance only; inspectors retain full authority to determine violations and enforcement actions. Does not meet high-impact definition per M-25-21 Section 5.""",Other,Computer Vision,"Inspection: An AI headset offers a hands-free, voice-controlled solution that enhances the efficiency, safety, and accuracy of MSHA inspectors using the Inspection Application System (IAS). By enabling inspectors to access inspection checklists, capture photos and videos, and input data through voice commands, the headset reduces reliance on manual data entry and handheld devices in mining environments. It also supports real-time communication with field office supervisors and data collection, streamlining the inspection process and improving documentation. When integrated with IAS or compatible platforms, an AI headset can significantly modernize field inspections, ensuring better compliance and faster reporting.","Improve Inspection Onsite Documentation Time: The intended purpose of the AI headset is to provide a hands-free, voice-activated wearable solution that enhances the productivity, safety, and effectiveness of frontline government workers, such as MSHA inspectors. The expected benefits include significant cost savings through reduced inspection times and fewer repeat site visits, as well as improved documentation accuracy through real-time photo, video, and voice note capture. The device also enables live communication with remote experts, accelerating decision-making and reducing downtime.","Outputs: For MSHA inspectors using the Inspection Application System (IAS), the AI system outputs of the AI headset are designed to streamline field operations, enhance safety, and improve data accuracy. These outputs are delivered through a combination of visual, audio, and data-driven interfaces that support real-time decision-making and documentation. The primary output is a high-resolution micro-display that appears in the inspector’s line of sight, showing inspection forms and data entry screens, mine data, safety protocols, or previous violation histories pulled from IAS or the Mine Data Retrieval System (MDRS)",12/18/2025 0:00:00,Vendor Purchased,ResolveSoft 1605TA-25-F-00018,No,MSHA AI Head Gear,,,No,,[],No,,,,,,,,,,[]
EPA,Environmental Protection Agency,43,FFEO TSCA investigation into privatized military housing property management companies,OECA,CAIO@epa.gov,Yes - Disclosure Risk,Pre-deployment,High-impact,,Law Enforcement,Classical ML,"1)Reviewing spreadsheets or documents for TSCA Renovation, Repair, and Painting work descriptions 
2)Reviewing documents containing leases for Lead Disclosure Rule violations
3)Reviewing pictures and video for TSCA Renovation, Repair, and Painting work descriptions
4)Drafting enforcement actions with the understanding that the final determination of compliance and enforcement actions is inherently a government function.",Makes FFEOs law enforcement processes and functions more efficient.,Synthesize information/data gleaned from subpoenaed records pertaining to disclosure and renovation work involving lead-based-paint more efficiently.,,,,,,,,,,[],,,,,,,,,,,[]
EPA,Environmental Protection Agency,46,Briefcam,OECA,CAIO@epa.gov,Yes - Disclosure Risk,Pilot,"Presumed High-Impact, but Not High-impact",,Law Enforcement,Computer Vision,Speed the review and improve the accuracy of captured surveillance footage.,This product will help increase case investigation speed by greatly reducing the amount of time Special Agents spend reviewing video footage.,Briefcam produces a summary video containing bookmarked images to the surveillance footage location the event is identified from.,,,,,,,,,,[],,,,,,,,,,,[]
EPA,Environmental Protection Agency,82,RMP Risk Modeling,OECA,CAIO@epa.gov,Yes - Disclosure Risk,Pre-deployment,Not High-impact,,Law Enforcement,Classical ML,To identify facilities with Risk Management Plans (RMP) under the Clean Air Act (CAA) that have an elevated risk of accidents,Reducing staff time and better identification of potential violators,Decimal score between 0 and 1,,,,,,,,,,[],,,,,,,,,,,[]
FERC,Federal Energy Regulatory Commission,FERC-0002,Improve Safety Inspections Use Case,FERC,Mittal.Desai@ferc.gov,Other,Pre-deployment,Not High-impact,"This use case is in pre-deployment and initial analysis determines that it will not make decisions or take actions that directly affect individual rights, benefits, or services. Reassessment will be conducted upon development.",Energy and Environment,Other,"The AI solution is intended to enhance the efficiency and accuracy of dam and LNG pipeline structure inspections by FERCs Dam inspectors. It will analyze historical and real-time images, videos, and notes to identify potential safety defects and trends. This approach reduces the manual workload of safety inspectors and improve inspection timelines.",,,,Contracting and In House,Zvolvant (Small Business),No,,Images obtained by the AI will build a repository for training.,,,,['k) None of the above'],Yes,,,Yes,Improved inspection accuracy and reduced manual review time were identified through pilot testing and analyst feedback.,CAIO Review,,,,Not Applicable,[]
FERC,Federal Energy Regulatory Commission,FERC-0003,Enhance Market Surveillance and Fraud Detection Use Case,FERC,Mittal.Desai@ferc.gov,Other,Pre-deployment,Not High-impact,"This use case is in pre-deployment and initial analysis determines that it will not make decisions or take actions that directly affect individual rights, benefits, or services. Reassessment will be conducted upon development.",Energy and Environment,Other,"The AI solution aims to assist staff in analyzing large and complex market datasets for market integrity and compliance purposes. It will process and interpret vast amounts of trading data at high speed, identifying anomalies, trends, and potential regulatory violations. This capability will help maintain fair and transparent markets, enabling staff to focus on strategic decision-making. The AI’s efficiency and precision will save time, improve compliance, and uphold public trust in market operations.",,,,Contracting and In House,Zvolvant (Small Business),No,,We have not started work on this use case and have not identified specific data sets needed to support all market surveillance activities.,,,,['k) None of the above'],Yes,,,Yes,,CAIO Review,,,,Not Applicable,[]
FERC,Federal Energy Regulatory Commission,FERC-0004,Support Interconnection Request Responses Use Case,FERC,Mittal.Desai@ferc.gov,Other,Pre-deployment,Not High-impact,"This use case is in pre-deployment and initial analysis determines that it will not make decisions or take actions that directly affect individual rights, benefits, or services. Reassessment will be conducted upon development.",Energy and Environment,Other,"The AI solution will be designed to address the growing backlog of project interconnection requests and reduce the average three-year wait time. By accelerating the processing of proposals, the AI will help FERC with cost savings and shorting the timelines of requests.",,,,Contracting and In House,Zvolvant (Small Business),No,,We have not started work on this use case and have not identified specific data sets needed to support all interconnection requests.,,,,['k) None of the above'],Yes,,,Yes,,CAIO Review,,,,Not Applicable,[]
NARA,National Archives and Records Administration,NARA - 0001,Generative AI Solutions for Workplace Productivity (aka Gemini),National Archives & Records Administration (NARA),Akhtar.Zaman@nara.gov,Yes - Disclosure Risk,Deployed,Not High-impact,,Other,Generative AI,"The AI is intended to improve employee productivity by providing smarter tools for employees to summarize, draft, and navigate operational records.","NARA is exploring how Generative AI tools can help employees work more efficiently and creatively. These AI tools can automate tasks, enhance communication and collaboration, and improve decision-making.","This AI solution will help with draft emails and documents, create images, analyze data, take meeting notes, and manage workflows.",2025-09-01 0:00:00,Vendor Purchased,Google,Yes,Google Workspace / Google Gemini,"Agency is strictly using its internal data for the purpose of prototype work. The data is internally available G-suite (Google Drive, Chat, Meeting, Gmail etc.).",,Yes,,['k) None of the above'],No,,,,,,,,,,[]
NARA,National Archives and Records Administration,NARA - 0003,NARA@WORK Kendra Search,National Archives & Records Administration (NARA),Akhtar.Zaman@nara.gov,Yes - Disclosure Risk,Deployed,Not High-impact,,Other,NLP,"The AI is intended to solve the problem of inefficient employee information discovery by replacing outdated keyword search with a natural language system that provides instant, context-aware answers from disparate agency resources.","NARA is implementing an AI-driven contextual information retrieval tool (e.g., Amazon Kendra) to modernize search functionality on the NARA@Work internal site. This will enable staff to use Natural Language Processing (NLP) to query a wide range of agency information (Work Life, Benefits, Policies, etc.) and receive ""Suggested Answers.""","This AI-powered tool will drive significant productivity gains across the agency by enabling staff to find critical information faster and more efficiently. By utilizing contextual retrieval and ""Suggested Answers,"" the system ensures higher quality and more accurate results compared to traditional search methods.",2025-09-01 0:00:00,In-house Development,,Yes,NARA@Work,The data is internally (Intranet) available at internal site work.nara.gov,,No,,['k) None of the above'],No,,,,,,,,,,[]
